차종,연비,이미지
2020 닷지 차저,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191213_210%2Fauto_1576206933639MwfQv_PNG%2F20191213121521_A6GlyasA.png
2006 재규어 X-타입,7~8.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_60%2Fauto_1497939459153euXwk_PNG%2F12419_2006__X-.png
2013 피아트 프리몬트,11.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_296%2Fauto_1496048341330vKdQW_PNG%2F18450_2013__.png
2014 아우디 A4,10~16.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_248%2Fauto_1496048874029NgDzk_PNG%2F46025_2014__A4.png
2019 지프 체로키,9.2~11.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210928_224%2Fauto_1632810913498TRM7C_PNG%2F20210928153510_ZHUJVQcq.png
2019 푸조 5008,12.7~14km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20181108_297%2Fauto_1541649487535cv7Iz_PNG%2F20181108125751_ePkqbq9I.png
2013 시트로엥 DS 5,14.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190111_148%2Fauto_1547189699222oMj9S_PNG%2F20190111155425_D0EOFMux.png
2020 BMW 2시리즈 그란쿠페,10.4~14.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200218_258%2Fauto_1581986555010fjWdq_PNG%2F20200218094223_xiOx02MS.png
2021 폭스바겐 파사트 GT,14~14.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20201214_127%2Fauto_1607916533028914rw_PNG%2F20201214122828_Wx9lqHnk.png
2022 쉐보레 볼트 EUV,5.5km/kWh,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210811_188%2Fauto_1628646523272EVtVT_PNG%2F20210811104832_sEcRInMr.png
2020 폭스바겐 골프,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191025_246%2Fauto_1571985845407cNFDy_PNG%2F20191025154304_xnov9cWI.png
2006 미니 해치백 JCW,10.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_156%2Fauto_1497939816514NziEQ_PNG%2F12704_2006___JCW.png
2006 혼다 릿지라인,17ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191213_234%2Fauto_15762004453707yBzW_PNG%2F20191213102657_zVut7fSp.png
2010 포드 머스탱 컨버터블,8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_19%2Fauto_1496110796947jtqjC_PNG%2F10121_2010___.png
2013 미니 해치백 JCW,11.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_125%2Fauto_1496048628481CGVxb_PNG%2F40049_2013___JCW.png
2017 포드 토러스,9.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180702_83%2Fauto_1530502124376QWns6_PNG%2F20180702122822_iQEHeF4L.png
2016 마쯔다 CX-9,25mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_70%2Fauto_149554465382444HQY_PNG%2F61123_2016__CX-9.png
2017 마쯔다 CX-9,23~24mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180404_284%2Fauto_1522821729086IYw8w_PNG%2F20180404150149_C8ByxGz8.png
2020 닛산 무라노,23mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190923_171%2Fauto_1569217747312CBCtO_PNG%2F20190923144851_yDKFxLpT.png
2019 폭스바겐 아틀라스 크로...,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191029_111%2Fauto_1572338844952rtXjx_PNG%2F20191029174709_76PkolYS.png
2022 폭스바겐 골프 GTI,11.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20221215_9%2Fauto_1671066673583UltC4_PNG%2F20221215101104_AeCKVute.png
2014 렉서스 CT F 스포츠 하이...,18.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170829_298%2Fauto_1503988324271OtMPz_PNG%2F20170829153201_gcMvmJ0Q.png
2019 렉서스 UX 하이브리드,15.9~16.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20211214_253%2Fauto_1639461282699mrbmR_PNG%2F20211214145439_oQ7ptJDu.png
2021 혼다 CR-V 하이브리드,14.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210112_268%2Fauto_1610433668202dh2qI_PNG%2F20210112154055_UNIMdv2d.png
2023 메르세데스-벤츠 A클래...,11.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220921_258%2Fauto_1663744472478IRaMO_PNG%2F20220921161431_UprYrS5x.png
2020 포드 에베레스트 스포츠,6.9~8.5ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220222_101%2Fauto_1645508624037wGVdX_PNG%2F20220222144328_t9qWx7p6.png
2008 에쿠스,6.9~8.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200806_205%2Fauto_1596694035636qOx1V_PNG%2F20200806150714_ojjY4rwx.png
2007 BMW 3시리즈,7.4~11.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_264%2Fauto_1497939291483LfgPY_PNG%2F11556_2007_BMW_3_.png
2020 쉐보레 트래버스,8.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190903_141%2Fauto_1567477935838R0a8g_PNG%2F20190903113151_QdjMhEyj.png
2019 닛산 맥시마,9.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190917_245%2Fauto_1568694034675As0jq_PNG%2F20190917132022_wgTlcFi3.png
2021 쉐보레 트래버스,8.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210906_279%2Fauto_1630886501961smBhy_PNG%2F20210906090130_E3Savj6a.png
2023 푸조 3008,12.2~15.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230626_76%2Fauto_1687744017406ps4BK_PNG%2F20230626104643_61QzqcfW.png
2020 아우디 A3 세단,4.9ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200421_192%2Fauto_1587453935242hFGbT_PNG%2F20200421162521_HZhIKhXP.png
2020 닛산 패스파인더,21~23mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190918_233%2Fauto_1568782097949WBG8c_PNG%2F20190918134758_dJZ4hprg.png
2019 텔루라이드,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200214_267%2Fauto_1581656814310Xpji6_PNG%2F20200214140652_w3I1xwzF.png
2016 어큐라 TLX,25~28mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_128%2Fauto_1495544581740JaIFF_PNG%2F61037_2016__TLX.png
2009 램 1500,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180129_286%2Fauto_1517224874648uzQKP_PNG%2F20180129202101_49dPisf7.png
2008 베리타스,8.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190926_68%2Fauto_1569467943047IwnEq_PNG%2F20190926121856_oe6JdIr2.png
2010 폭스바겐 파사트,15.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_35%2Fauto_1496110846451cB9y4_PNG%2F14264_2010__.png
2018 메르세데스-벤츠 CLA,10.6~11.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191209_175%2Fauto_1575857166207GD8lj_PNG%2F20191209110604_cXkjkdqQ.png
2017 메르세데스-벤츠 GLA,10.5~11.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170911_266%2Fauto_1505107071242JqnSL_PNG%2F20170911141737_NKvdvRZw.png
2016 포드 머스탱,7.3~9.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_292%2Fauto_1495544486275SXYxs_PNG%2F60895_2016___.png
2018 푸조 508 GT,12km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180110_54%2Fauto_15155624436390OEJk_PNG%2F20180110143353_4e3DxU92.png
2014 볼보 V60,15.8~16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_41%2Fauto_1496048833482hg3yx_PNG%2F43187_2014__V60.png
2015 볼보 V60,15.8~16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_22%2Fauto_149579834969751H5d_PNG%2F53999_2015--V60.png
2016 푸조 508 SW,14.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_197%2Fauto_1495544266751aqlru_PNG%2F62361_2016--508-SW%252B.png
2019 혼다 어코드 하이브리드,18.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190212_292%2Fauto_1549954529331fuKWL_PNG%2F20190212155508_MEiUHptI.png
2020 BMW 2시리즈 액티브 ...,15.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200826_30%2Fauto_1598413545816JwMHx_PNG%2F20200826124535_87o2Clqm.png
2021 BMW 2시리즈 액티브 ...,15.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20201207_294%2Fauto_1607317272150zVCdM_PNG%2F20201207140059_pNS8ou2w.png
2019 미니 컨버터블 S,47.1mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180111_163%2Fauto_1515661404096MHfVn_PNG%2F20180111180312_h3Cq5u1O.png
2017 아우디 Q3,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_244%2Fauto_149554243141019M8G_PNG%2F66341_2017--Q3.png
2023 G70 슈팅브레이크,10.1~10.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230519_265%2Fauto_16844569995073O2lc_PNG%2F20230519094211_UAVRYat7.png
2024 G70 슈팅브레이크,10.1~10.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250225_218%2Fauto_1740448169409kcsPV_PNG%2F20250225104919_SzfoaBT7.png
2021 폭스바겐 티구안,13.4~15.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210722_5%2Fauto_1626934275445KiWg8_PNG%2F20210722151102_qF7aGi4v.png
2023 폭스바겐 티구안,15.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240425_130%2Fauto_1714017438521J6qGF_PNG%2F20240425125717_PlfaHq2R.png
2018 BMW 2시리즈 액티브 ...,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180111_189%2Fauto_1515635919401Nmzvd_PNG%2F20180111105825_JOnY8s1c.png
2018 테슬라 모델 3,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210122_145%2Fauto_1611296527243x0ex4_PNG%2F20210122152206_TS7JXd15.png
2013 어큐라 TSX 왜건,25mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_282%2Fauto_1496048674826S7K5b_PNG%2F40379_2013__TSX_.png
2008 지프 랭글러,9.5~9.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_145%2Fauto_14979393188529w9UL_PNG%2F11102_2008__.png
2022 푸조 3008,12.2~15.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220120_55%2Fauto_1642642389625xW1m0_PNG%2F20220120103258_PgYRRr65.png
2023 미니 컨버터블,12.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220808_7%2Fauto_1659938121844vtSSG_PNG%2F20220808145512_CxFSTD1N.png
2023 지프 레니게이드,10.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241203_281%2Fauto_17331873732003S1bl_PNG%2F20241203095603_yGPNDexi.png
2024 아바쓰 패스트백,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231031_70%2Fauto_1698717437916Af3aH_PNG%2F20231031105705_d1d74q88.png
2018 쉐보레 볼트 EV,5.5km/kWh,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180115_262%2Fauto_1516003247730sXgIo_PNG%2F20180115170019_k04Qm1Ff.png
2018 홍치 E-HS3,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191022_167%2Fauto_15717160142945h6iW_PNG%2F20191022124638_75Yy1sA7.png
2018 렉서스 CT F 스포츠 하이...,17km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20181115_206%2Fauto_1542269335513VeUl5_PNG%2F20181115170841_hCQjzyWJ.png
2019 렉서스 CT F 스포츠 하이...,17km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190402_237%2Fauto_1554194931655V0w4Y_PNG%2F20190402174840_6gYom7tG.png
2019 미니 해치백 SD 5도어,15.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190530_278%2Fauto_1559201784135Qv4Bf_PNG%2F20190530163609_XpuvfRbB.png
2021 미니 컨트리맨 D,14.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20201008_3%2Fauto_16021229847905bg1g_PNG%2F20201008110925_D8G0KMJB.png
2021 렉서스 UX 하이브리드,15~16.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20211214_65%2Fauto_16394612939995VStH_PNG%2F20211214145451_Wez6izSJ.png
2022 미니 해치백 SE,4.5km/kWh,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220110_261%2Fauto_1641795572074zROFh_PNG%2F20220110151920_mlHORkQk.png
2024 BMW 2시리즈 액티브 ...,12.2~15.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_65%2Fauto_1698127174901825rj_PNG%2F20231024145926_2U2cEmZm.png
2024 대창모터스 다니고 W,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_259%2Fauto_1712133147020QQf0l_PNG%2F20240403173217_UY6UiJrk.png
2015 제네시스,8.5~9.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191219_7%2Fauto_1576764701352Ry6G7_PNG%2F20191219231139_y5rRvgPn.png
2020 렉서스 CT F 스포츠 하이...,17km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200121_107%2Fauto_1579572947597DxSSF_PNG%2F20200121111536_iOo0fbtd.png
2019 혼다 패스포트,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20181204_179%2Fauto_1543905596227x23iz_PNG%2F20181204153921_KbBbj4nT.png
2021 쉐보레 볼트 EV,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210215_10%2Fauto_1613368644299Y8LWx_PNG%2F20210215145708_pKodqpGw.png
2018 스바루 어센트,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191213_97%2Fauto_1576218705595IISET_PNG%2F20191213153144_HEahQSR7.png
2008 BMW 3시리즈,9~15.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_185%2Fauto_1497939371409BvAFG_PNG%2F10896_2008_BMW_3.png
2021 혼다 어코드 하이브리드,17.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210112_49%2Fauto_1610434684136oanAa_PNG%2F20210112155754_R4Fygt7w.png
2023 니로 플러스,5.3km/kWh,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220427_236%2Fauto_1651046847383XjOju_PNG%2F20220427170712_8YCa5tXU.png
2023 미니 해치백 S 5도어,12.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220808_149%2Fauto_1659942714890B0cmn_PNG%2F20220808161144_oEYdSjVa.png
2025 BMW 2시리즈 액티브 ...,12.2~15.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241008_144%2Fauto_1728374877151vt84M_PNG%2F20241008170746_axO7htmM.png
2024 란치아 입실론,4.6ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240320_89%2Fauto_1710897088454PKzs0_PNG%2F20240320101118_MpmEM0Ak.png
2013 GMC 사바나,14mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_142%2Fauto_1496048700618FlC4d_PNG%2F31821_2013_GMC__.png
2008 크라이슬러 300C,7.9~11.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_67%2Fauto_149793945823643wLO_PNG%2F11056_2008__300C.png
2006 닷지 다코타,6.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191213_29%2Fauto_1576222832480NtBAX_PNG%2F20191213164031_l76BRQpl.png
2014 메르세데스-벤츠 CLA,11.3~16.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_230%2Fauto_14960489807829YVTA_PNG%2F28899_2014__CLA.png
2015 크라이슬러 300C,8.7~9.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_97%2Fauto_14957982008589Okbw_PNG%2F59107_2015__300C.png
2022 DS 3,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220927_240%2Fauto_1664245971533VNy2e_PNG%2F20220927113241_gCfHsjKV.png
2016 미니 컨버터블 S,5.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170817_13%2Fauto_1502933402676g7w1w_PNG%2F20170817102959_bfCa1crD.png
2006 에쿠스,6.9~7.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200806_191%2Fauto_1596694029019Q3wTs_PNG%2F20200806150707_pKYdHhZ6.png
2010 토요타 캠리 하이브리드,19.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_232%2Fauto_1496110789271Y2Vvk_PNG%2F10136_2010___.png
2003 지프 체로키,6.4~13.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_199%2Fauto_14979397354970bjdQ_PNG%2F13171_2003__.png
2015 폭스바겐 CC,10.5~15.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_40%2Fauto_1495798228611CmpMX_PNG%2F58565_2015__CC.png
2016 닛산 리프,5km/kWh,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_210%2Fauto_1495544258324iBeq6_PNG%2F62869_2016___EV.png
2008 미니 해치백 JCW,12.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_123%2Fauto_1497939282706b6YlY_PNG%2F11383_2008___JCW.png
2016 DS 5,13.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190111_203%2Fauto_1547191088148FvfPp_PNG%2F20190111161745_tZClybHu.png
2020 미니 컨버터블,11.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200713_142%2Fauto_1594604325269IiGnJ_PNG%2F20200713103843_weuJThLX.png
2020 푸조 E-2008,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200728_53%2Fauto_15959133047566JaUC_PNG%2F20200728141446_N9MIzHOg.png
2022 니로 EV,5.3km/kWh,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210604_103%2Fauto_16227710842639MJJq_PNG%2F20210604104332_HpS7oa6j.png
2022 푸조 508,15.6~17.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220120_159%2Fauto_1642641957659Rz0u3_PNG%2F20220120102541_L1oiacvY.png
